word_2018,count
contraparte,1
millo,3
nes,8
presupuesto,3
lujos,2
faraónicos,1
altos,3
funcionarios,10
consumieron,1
debie,1
emplearse,1
cumplimiento,4
obligaciones,2
desposeídos,2
poner,1
dispendios,2
políti,1
ca,6
austeridad,2
republicanaal,1
sistemático,1
quebrantamiento,1
leyes,8
tanto,12
letra,1
desempeñar,2
estricto,1
acatamiento,1
separación,4
poderes,4
observancia,4
colectivos,2
empezando,2
represión,2
razón,2
solución,4
diálo,1
privilegios,2
cese,2
fueros,1
producir,1
estadísticas,1
armoniosas,1
generar,2
macroindicadores,1
instrumen,1
medición,1
retomaremos,1
camino,1
disciplina,1
fiscal,6
endeudamiento,2
decisiones,7
autónomas,1
empleos,10
impulso,4
agro,4
investigación,3
durante,11
empeñó,1
redu,2
cir,1
aparato,3
administrativo,2
servicio,5
grandes,5
corporaciones,5
coercitivo,1
contra,9
mayorías,3
idea,2
pú,5
blicas,1
debían,1
renunciar,1
papel,2
rectoras,1
impul,2
soras,1
bastaba,1
mano,5
invisible,1
corregir,1
distorsiones,2
desequilibrios,2
injusticias,2
aberraciones,1
costosa,1
insensatez,1
recuperará,2
fortaleza,1
garan,1
te,7
árbitro,1
generador,2
coherentes,1
articulador,1
consumó,1
iglesia,1
pro,9
puesto,1
connivencia,3
fusión,1
ambos,2
gubernamental,5
orientado,7
beneficiar,2
pri,1
vados,1
corporativos,2
detrimento,1
desentiende,1
miembros,1
débiles,2
desvalidos,1
rompe,1
empatía,2
factor,2
indispensable,6
acaba,1
envilecimiento,1
excluyente,2
concentrador,1
riqueza,7
unas,5
cuantas,3
manos,2
opresor,1
pobla,3
cionales,1
minorías,1
depredador,2
entorno,5
progreso,1
retroceso,1
somos,1
seremos,1
respetuosos,1
pueblos,7
originarios,1
usos,1
costumbres,1
autode,2
terminación,2
preservación,5
territorios,1
propug,1
namos,1
sustantiva,1
mujeres,7
hombres,6
dignidad,3
adultos,4
tener,6
rechazamos,1
dis,2
criminación,1
características,2
físicas,4
posición,2
esco,2
laridad,1
religión,1
idioma,1
origen,6
preferencia,2
ideológica,1
identidad,1
género,2
pre,4
ferencia,1
sexual,2
propugnamos,1
res,5
petuoso,1
habitantes,4
hábitat,1
equitativo,1
subsanar,1
agudizar,1
desigualdades,3
defensor,1
diversidad,5
ambiente,2
natural,2
sensible,2
mo,3
dalidades,2
singularidades,1
locales,5
consciente,4
necesidades,12
futuros,1
quienes,9
podemos,1
heredar,1
territorio,14
ruinasno,1
inseguridad,8
delincuencia,8
costo,1
inaceptable,2
vidas,2
humanas,1
materiales,6
gobernabilidad,1
inhiben,1
debilitan,1
municipio,1
barrio,1
blica,3
aplicadas,2
administraciones,2
anteriores,3
catastróficas,1
catástrofe,1
aplicando,1
materia,8
plantea,1
prioridades,2
restarle,1
criminalidad,4
incorpora,1
masiva,2
estudio,2
trabajo,16
apartar,1
conductas,4
antisociales,4
reinserción,5
guerra,4
adopción,3
prevención,10
tratamiento,3
adicciones,3
procesos,5
pacifica,1
